cfg-001	Echine de Porc	Supplier Goods	Fresh Raw Goods			Beauvallet	kg	1000		7.95				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		
cfg-002	Faux fillet Boeuf Angus Argentine	Supplier Goods	Fresh Raw Goods			Beauvallet	kg	1000		25.16				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		
cfg-003	Tartare Boeuf Charolais	Supplier Goods	Fresh Raw Goods			Beauvallet	carton		32	56.16				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		
cfg-004	Salade Romaine	Supplier Goods	Fresh Raw Goods			Tapfruit	bag		2	3.28				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		
cfg-005	Chou chinois	Supplier Goods	Fresh Raw Goods			Tapfruit	piece		1	2.48				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		
cfg-006	Haricot Vert	Supplier Goods	Fresh Raw Goods			Tapfruit	tray	500		4.98				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		
cfg-007	Poireau	Supplier Goods	Fresh Raw Goods			Tapfruit	kg	1000		2.28				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		
cfg-008	Pomme Golden 201/240	Supplier Goods	Fresh Raw Goods			Tapfruit	kg	1000		2.28				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		
cfg-009	Chou choudou catégorie 1 Portugal	Supplier Goods	Fresh Raw Goods			Metro	piece		1	2.96				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		710171
cfg-010	Chou chinois	Supplier Goods	Fresh Raw Goods			Metro	piece		1	2.74				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		760449
cfg-011	Pomme Gala barquette	Supplier Goods	Fresh Raw Goods			Metro	pack	1700		4.06				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		701650
cfg-012	Salade romaine	Supplier Goods	Fresh Raw Goods			Metro	piece		1	2.74				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		763485
cfg-013	Céleri botte catégorie 1 Espagne	Supplier Goods	Fresh Raw Goods			Metro	bunch		1	1.97				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		9174
cfg-014	Haricot vert barquette	Supplier Goods	Fresh Raw Goods			Metro	pack	500		4.72				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		30711
cfg-015	Foin pour cuisine France	Supplier Goods	Fresh Raw Goods			Metro	carton			16.48				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		700944
cfg-016	Gingembre Chine	Supplier Goods	Fresh Raw Goods			Metro	pack	500		4.39				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		31959
cfg-017	Jardins du Midi Purée de gingembre Chine	Supplier Goods	Fresh Raw Goods			Metro	pack	450		6.59				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		66377
cfg-018	METRO Chef Ail pelé	Supplier Goods	Fresh Raw Goods			Metro	pack	1000		5.27				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		307186
cfg-019	METRO Chef Ciboulette sachet 5 bottes	Supplier Goods	Fresh Raw Goods			Metro	pack	20		5.45				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		30859
cfg-020	METRO Chef Concombre pièce catégorie 1 France 400/500 g	Supplier Goods	Fresh Raw Goods			Metro	piece		1	0.87				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		762411
cfg-021	Piment vert catégorie 1 Maroc	Supplier Goods	Fresh Raw Goods			Metro	pack	4000		13.15				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		30561
cfg-022	Radis blanc for Moo Cut	Supplier Goods	Fresh Raw Goods			Metro	piece	500		1.64				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		30771
cfg-023	Radis rouge for Pickle	Supplier Goods	Fresh Raw Goods			Metro	pack	1500		6.26				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		762340
cfg-024	Vitalfa Graine germée de radis pourpre France	Supplier Goods	Fresh Raw Goods			Metro	pack	85		1.53				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		1982
cfg-025	Mori-Nu Tofu soyeux fort tetra	Supplier Goods	Fresh Raw Goods			Metro	pack	307		4.84				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		173311
cfg-026	Mûre Portugal	Supplier Goods	Fresh Raw Goods			Metro	pack	125		2.19				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		831821
cfg-027	Groseille	Supplier Goods	Fresh Raw Goods			Metro	pack	125		2.19				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		710495
cfg-028	Melon Jaune Bollo	Supplier Goods	Fresh Raw Goods			Metro	piece		1	4.61				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		703224
cfg-029	Courgette 14/21	Supplier Goods	Fresh Raw Goods			Metro	pack	5000		10.4				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		714890
cfg-030	GALBANI Mascarpone 41.5%	Supplier Goods	Fresh Raw Goods			Metro	pack	500		7.41				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		23609
cfg-031	Latte Bianco Mascarpone 42% MG	Supplier Goods	Fresh Raw Goods			Metro	pack	500		5.58				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		239744
cfg-032	METRO Chef Jaune d'oeuf liquide pasteurisé bidon	Supplier Goods	Fresh Raw Goods			Metro	pack	1000		10.31				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		5611
cfg-033	OVOTEAM Blanc d'oeuf liquide pasteurisé	Supplier Goods	Fresh Raw Goods			Metro	pack	1000		6.88				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		24390
cfg-034	Gastronome Viande cuisses poulet sans os Halal sous vide France	Supplier Goods	Fresh Raw Goods			Metro	pack	2500		21.6				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		273322
cfg-035	METRO Chef Roti échine de porc VPF sans os sous vide France	Supplier Goods	Fresh Raw Goods			Metro	pack	2200		13.09				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		306985
cfg-036	Epaule de veau sans os sans jarret sous vide	Supplier Goods	Fresh Raw Goods			Metro	pack	5000		16.63				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		9554
cfg-037	METRO Chef Mangue en morceaux	Supplier Goods	Staple Stock			Metro	pack	1000		5.06				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		121393
cfg-038	Oeufs calibre moyen plein air	Supplier Goods	Fresh Raw Goods			Metro	piece		180	46.33				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		296830
cfg-039	Purée de mangue	Supplier Goods	Staple Stock			Metro	pack			8.53				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		67379
cfg-040	Lait concentré sucré	Supplier Goods	Staple Stock			Metro	pack	1000		5.51				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		10315
cfg-041	Sirop de glucose cristal	Supplier Goods	Staple Stock			Metro	pack	1000		7.3				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		11578
cfg-042	Miel de fleurs pot	Supplier Goods	Staple Stock			Metro	pack	1000		6.26				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		107929
cfg-043	Pulco Citron verre perdu	Supplier Goods	Staple Stock			Metro	pack			2.69				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		202560
cfg-044	Carandini Vinaigre balsamique blanc	Supplier Goods	Staple Stock			Metro	pack			3.53				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		57085
cfg-045	Matcha en Poudre	Supplier Goods	Staple Stock			Metro	pack	500		21.57				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		276472
cfg-046	Cacao en Poudre	Supplier Goods	Staple Stock			Metro	pack	250		4.74				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		22642
cfg-047	RIOBA Pur jus de pomme	Supplier Goods	Staple Stock			Metro	pack		6	9.39				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		280387
cfg-048	Biscuits cuillers pâtissiers	Supplier Goods	Staple Stock			Metro	pack	1600		29.35				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		247412
cfg-049	Sucre en poudre	Supplier Goods	Staple Stock			Metro	pack	6000		6.97				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		247300
cfg-050	Farine de blé T45	Supplier Goods	Staple Stock			Metro	pack	10000		10.2				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		96497
cfg-051	Fécule de pomme de terre	Supplier Goods	Staple Stock			Metro	pack	5000		17.38				import	2026-09-04T00:00:00.000Z	import	2026-09-04T00:00:00.000Z		241829
